DomainName;IPAddress;Latitude;Longitude;DistanceTo;TTL;Time8B;Time64kB
biblegateway.com;50.16.229.208;39.0335;-77.4838;7021.30043237676;19;128;128
is.gd;104.28.29.76;37.7697;-122.3933;9371.36157572122;10;15;17
g.co;195.95.178.117;44.5132;26.0806;994.996082768249;14;77;80
storify.com;54.230.12.50;47.542;-122.3123;8380.40754561502;15;37;37
ucoz.com;213.174.157.200;39.0335;-77.4838;7021.30043237676;12;127;128
gizmodo.com;104.156.85.129;37.7697;-122.3933;9371.36157572122;11;46;46
psu.edu;146.186.157.8;40.8077;-77.8614;6904.05258215625;18;135;135
reference.com;66.235.120.211;37.8113;-122.3008;9363.80492713966;17;127;127
sun.com;156.151.59.35;37.5331;-122.2471;9390.0537662545;14;199;202
devhub.com;166.78.40.223;29.4889;-98.3987;9058.41938289093;18;188;178
artisteer.com;69.167.177.19;42.7257;-84.636;7141.95698258505;15;159;162
answers.com;67.196.156.65;40.8221;-74.4564;6697.87503295537;14;134;136
t-online.de;62.153.159.92;49.8647;8.62546;610.14962213012;10;49;51
1und1.de;217.160.72.6;50.0748;8.75573;595.024378519465;9;37;37
ask.com;66.235.120.127;37.8113;-122.3008;9363.80492713966;16;127;128
canalblog.com;195.137.184.103;43.6134;1.08126;1456.81681413311;13;49;50
timesonline.co.uk;143.252.148.211;51.541;-0.143901;1191.89408227437;15;44;45
smugmug.com;52.4.71.155;39.0335;-77.4838;7021.30043237676;18;137;141
wufoo.com;75.98.93.66;37.3961;-121.9617;9393.53191348664;13;208;209
domainmarket.com;174.137.132.100;40.7276;-73.6344;6654.96044062534;12;135;131
odnoklassniki.ru;217.20.147.94;55.6807;37.6678;1453.29705614928;11;66;67
twitpic.com;173.236.110.98;41.8825;-87.6441;7377.77622675996;18;159;160
home.pl;212.85.96.1;53.4328;14.556;309.30569276041;11;17;16
google.ru;195.95.178.123;44.5132;26.0806;994.996082768249;14;74;76
newyorker.com;104.156.81.239;37.7697;-122.3933;9371.36157572122;11;52;47
blogs.com;190.93.244.47;37.3394;-121.895;9396.82870037617;10;24;16
sciencedirect.com;198.81.200.2;39.6182;-84.2488;7374.11361197032;15;159;159
hibu.com;72.21.92.49;34.0119;-118.4682;9598.78554725025;13;131;133
cyberchimps.com;69.16.195.23;42.7257;-84.636;7141.95698258505;15;158;165
google.com.hk;195.95.178.110;44.5132;26.0806;994.996082768249;14;68;70
zimbio.com;104.156.85.175;37.7697;-122.3933;9371.36157572122;11;37;39
chronoengine.com;72.52.217.124;42.7257;-84.636;7141.95698258505;15;159;159
java.com;104.86.190.240;52.374;4.8897;847.029646542602;15;94;95
cisco.com;72.163.4.161;37.425;-121.946;9390.03279976852;17;170;172
4shared.com;204.155.149.31;32.8343;-97.2289;8690.71852707924;15;173;170
studiopress.com;72.10.35.80;34.0202;-118.3928;9594.89049004806;18;201;198
printfriendly.com;104.154.39.167;37.4192;-122.0574;9394.68873480664;16;140;141
mlb.com;209.102.213.14;40.7871;-74.3291;6692.81256254149;19;173;177
omniture.com;66.235.132.91;40.3245;-111.9618;8708.95131484954;15;197;198
princeton.edu;140.180.223.22;40.3756;-74.6597;6744.63086256663;18;139;147
fotki.com;185.12.236.31;59.4422;24.8318;1049.29627189658;15;66;68
comcast.net;69.252.80.75;39.934;-74.7485;6784.1914900712;13;142;144
chron.com;174.143.228.153;29.4889;-98.3987;9058.41938289093;18;175;173
wp.com;192.0.78.25;37.7484;-122.4156;9374.32576416622;11;71;71
merriam-webster.com;38.69.47.251;41.8826;-87.6292;7376.94988362507;16;148;150
indiegogo.com;50.56.16.232;29.4889;-98.3987;9058.41938289093;18;153;154
ox.ac.uk;129.67.242.155;51.7158;-1.2925;1269.51366132198;19;44;46
mapy.cz;77.75.77.138;50.0715;14.4009;218.186419613173;18;46;47
csmonitor.com;50.57.23.79;29.4889;-98.3987;9058.41938289093;18;146;149
tamu.edu;165.91.22.70;30.6521;-96.341;8838.24122728692;18;203;203
rediff.com;23.219.163.32;42.3626;-71.0843;6375.72552759532;15;150;151
toplist.cz;88.86.101.2;50.7931;15.0365;143.981714065927;13;57;59
yellowpages.com;208.93.105.173;34.1526;-118.2645;9576.46212550209;12;141;138
tiny.cc;192.241.240.89;40.749;-73.9865;6674.84248924571;16;135;145
netlog.com;77.73.178.49;51.0535;3.72364;928.533693395808;11;47;48
oakley.com;162.209.69.253;29.4889;-98.3987;9058.41938289093;18;168;170
hostgator.com;159.253.147.8;52.374;4.8897;847.029646542602;15;40;41
nymag.com;23.235.37.204;37.7697;-122.3933;9371.36157572122;11;41;42
blogtalkradio.com;8.14.83.67;40.0721;-74.2069;6740.352246049;16;146;148
unblog.fr;87.98.153.48;50.6917;3.20014;969.76126550313;12;45;46
vinaora.com;66.147.240.159;40.2181;-111.6133;8704.42777148547;14;187;190
msu.edu;35.9.15.49;42.7283;-84.4882;7133.49711030626;15;157;158
aboutads.info;198.101.197.43;29.4889;-98.3987;9058.41938289093;18;191;181
seattletimes.com;54.231.176.147;45.7788;-119.529;8464.88012401601;19;208;208
dyndns.org;204.13.248.116;43.0079;-71.495;6353.03344991367;14;140;145
123-reg.co.uk;94.136.40.129;53.7839;-1.57344;1291.86043241579;15;49;56
sbwire.com;148.163.88.134;36.7889;-114.1431;9144.61231765058;11;206;207
acquirethisname.com;69.64.157.84;47.6727;-122.1873;8363.27416001115;12;210;213
pen.io;104.31.200.4;37.7697;-122.3933;9371.36157572122;10;16;16
woothemes.com;192.0.66.3;37.7484;-122.4156;9374.32576416622;11;68;70
scientificamerican.com;64.106.177.144;40.7209;-74.0468;6680.67696495654;15;146;147
themeforest.net;23.33.1.231;52.374;4.8897;847.029646542602;10;60;62
spotify.com;194.132.197.147;34.5098;135.441;8758.49479142539;17;44;45
bloglovin.com;194.0.59.30;59.3243;18.0754;916.813303813846;17;70;59
ihg.com;184.50.171.213;52.374;4.8897;847.029646542602;10;40;38
