DomainName,IPAddress,Latitude,Longitude,DistanceTo,TTL,Time8B,Time64kB
wix.com,107.154.110.17,39.1588,-75.4941,6890.17986831618,,,
mapquest.com,149.174.110.102,38.9658,-77.4817,7026.5375538557,,,
washingtonpost.com,192.33.31.56,37.4192,-122.0574,9394.68873480664,,,
homestead.com,108.167.135.50,29.8301,-95.4739,8863.20148732058,,,
reuters.com,206.132.6.134,38.65,-90.5334,7810.21370208301,,,
163.com,123.58.180.7,23.1167,113.25,8443.32317446227,,,
photobucket.com,209.17.68.100,39.7392,-104.9847,8453.11076232662,,,
forbes.com,63.240.4.179,40.8915,-73.9471,6661.52881044839,,,
clickbank.net,96.47.69.66,40.7089,-74.0012,6678.81267621231,,,
weibo.com,114.134.80.162,22.3467,114.112,8565.7095090249,,,
etsy.com,192.147.0.123,40.7029,-73.9894,6678.55189851396,,,
amazon.co.uk,178.236.6.251,53.3331,-6.2489,1598.02143235502,,,
dailymotion.com,195.8.215.136,48.8887,2.32781,1077.53084662976,,,
soundcloud.com,93.184.220.127,34.0188,-118.455,9597.56039110904,,,
usatoday.com,159.54.238.69,38.9358,-77.1621,7009.51235470439,,,
yelp.com,104.16.57.23,37.7697,-122.3933,9371.36157572122,,,
cnet.com,64.30.224.118,26.1882,-80.1711,8246.91386560614,,,
posterous.com,216.146.46.11,42.9885,-71.4652,6352.65549933133,,,
telegraph.co.uk,62.159.74.50,50.9375,6.96028,704.244952312649,,,
archive.org,207.241.224.2,37.7811,-122.4625,9372.70021606424,,,
google.fr,195.95.178.95,44.5132,26.0806,994.996082768249,,,
constantcontact.com,208.75.122.14,42.403,-71.259,6383.42307157126,,,
phoca.cz,213.211.34.110,49.2,16.6333,213.172885361796,,,
phpbb.com,140.211.15.244,45.1136,-122.9478,8646.0954116034,,,
latimes.com,192.187.93.86,41.9288,-87.6315,7373.23194939107,,,
e-recht24.de,46.231.88.229,50.8839,6.90004,709.032671702891,,,
rakuten.co.jp,133.237.48.124,35.4668,139.618,8879.14678102318,,,
amazon.de,176.32.108.185,53.3331,-6.2489,1598.02143235502,,,
opera.com,82.145.215.49,64.1333,-21.9333,2672.62690295704,,,
miitbeian.gov.cn,miitbeian.gov.cn,0,0,5904.19023439229,,,
php.net,72.52.91.14,37.5155,-121.8962,9379.05363645486,,,
scribd.com,185.31.17.175,52.2055,7.54486,665.490402798701,,,
bbb.org,108.168.185.244,38.8943,-77.4311,7029.1350527797,,,
parallels.com,199.115.111.134,47.4829,-122.2171,8383.33561060999,,,
ning.com,208.82.16.81,40.3929,-74.5412,6736.06693151895,,,
dailymail.co.uk,195.234.240.212,51.5015,-0.190615,1195.46103186004,,,
cdc.gov,198.246.102.49,33.749,-84.388,7871.57408883046,,,
sohu.com,220.181.90.20,39.9289,116.3883,7237.08660546647,,,
wikimedia.org,91.198.174.192,51.4988,3.611,932.878694199209,,,
deviantart.com,54.230.15.73,47.542,-122.3123,8380.40754561502,,,
mit.edu,2a02:26f0:5a:281::255e,51.5074,-0.127758,1191.07212937153,,,
sakura.ne.jp,210.224.168.100,35.6581,139.752,8867.71725055826,,,
altervista.org,144.76.174.167,49.1203,10.7798,497.069539868039,,,
addtoany.com,104.20.34.35,37.7697,-122.3933,9371.36157572122,,,
time.com,192.0.79.33,37.7484,-122.4156,9374.32576416622,,,
google.it,195.95.178.102,44.5132,26.0806,994.996082768249,,,
stanford.edu,171.67.215.200,37.4178,-122.172,9399.0065921675,,,
live.com,65.55.206.154,47.6801,-122.1206,8360.40937684831,,,
alibaba.com,205.204.101.42,37.3961,-121.9617,9393.53191348664,,,
squidoo.com,52.22.7.166,39.0335,-77.4838,7021.30043237676,,,
harvard.edu,54.236.202.112,39.0335,-77.4838,7021.30043237676,,,
gravatar.com,192.0.80.241,37.7484,-122.4156,9374.32576416622,,,
histats.com,174.36.232.136,38.8943,-77.4311,7029.1350527797,,,
nasa.gov,52.0.14.116,39.0335,-77.4838,7021.30043237676,,,
npr.org,216.35.221.76,38.65,-90.5334,7810.21370208301,,,
ca.gov,134.186.61.39,38.1239,-121.8161,9314.58952700666,,,
eventbrite.com,50.17.225.36,39.0335,-77.4838,7021.30043237676,,,
wired.com,107.23.243.205,39.0335,-77.4838,7021.30043237676,,,
amazon.co.jp,54.240.252.0,45.7788,-119.529,8464.88012401601,,,
nbcnews.com,50.204.7.20,29.7523,-95.367,8864.10275446618,,,
blog.com,195.170.168.6,41.1627,-8.6355,2248.81151302601,,,
amazonaws.com,207.171.166.22,39.0335,-77.4838,7021.30043237676,,,
bloomberg.com,69.191.212.191,40.7588,-73.968,6672.96234510938,,,
narod.ru,193.109.246.86,55.7522,37.6156,1451.7630427293,,,
blinklist.com,75.101.132.77,39.0335,-77.4838,7021.30043237676,,,
imageshack.us,208.94.0.44,37.2304,-121.9505,9409.89351291809,,,
kickstarter.com,54.230.200.34,47.542,-122.3123,8380.40754561502,,,
hatena.ne.jp,59.106.194.19,34.6864,135.52,8746.33772401527,,,
nifty.com,222.158.213.148,35.685,139.7514,8865.16482895238,,,
angelfire.com,209.202.252.41,42.403,-71.259,6383.42307157126,,,
google.es,195.95.178.123,44.5132,26.0806,994.996082768249,,,
ocn.ne.jp,ocn.ne.jp,0,0,5904.19023439229,,,
over-blog.com,195.20.13.121,43.5631,3.952,1290.52083304684,,,
dedecms.com,218.29.186.68,34.6836,113.5325,7493.41234569775,,,
google.ca,195.95.178.89,44.5132,26.0806,994.996082768249,,,
a8.net,203.190.224.112,1.29557,103.789,9668.4554529294,,,
weather.com,172.227.86.66,42.3626,-71.0843,6375.72552759532,,,
pbs.org,23.21.237.247,39.0335,-77.4838,7021.30043237676,,,
ibm.com,129.42.38.1,41.3246,-73.6976,6613.27534553639,,,
cpanel.net,208.74.121.51,29.7346,-95.416,8868.48246984529,,,
